SK_ID_CURR,EXT_SOURCE_3,AMT_GOODS_PRICE,EXT_SOURCE_2,AMT_ANNUITY,EXT_SOURCE_1,DEF_60_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,AMT_CREDIT,FLAG_DOCUMENT_13,DAYS_EMPLOYED
100399,3,9,10,9,4,1,1,10,0,2
100404,1,10,8,10,3,1,1,10,0,3
100416,9,9,8,7,3,1,1,9,0,3
100422,7,4,5,2,3,1,1,4,0,8
100426,3,10,6,10,4,1,1,10,0,1
100438,7,6,8,4,4,1,1,5,0,7
100444,7,4,2,3,3,1,1,4,0,5
100445,5,2,4,2,1,1,1,3,0,10
100446,7,7,1,7,2,1,1,7,0,7
100447,9,1,4,1,3,1,1,1,0,5
100450,2,1,9,1,3,1,1,1,0,5
100466,3,3,8,3,6,1,1,3,0,4
100483,4,8,9,5,3,1,1,8,0,3
100484,8,10,6,10,6,1,1,10,0,8
100494,9,8,2,8,3,1,1,8,0,3
100510,3,6,2,4,2,1,1,5,0,8
100512,5,1,10,2,3,1,1,1,0,5
100517,8,8,9,7,4,1,1,8,0,7
100548,4,1,3,1,3,1,1,1,0,5
100551,3,9,7,7,6,1,1,10,0,5
100552,3,3,5,7,1,1,1,3,0,4
100553,10,1,8,1,2,1,1,2,0,2
100561,1,1,2,1,2,1,1,1,0,3
100568,1,4,2,5,3,1,1,4,0,9
100569,5,5,8,9,3,1,1,5,0,1
100591,5,4,9,5,3,1,1,4,0,10
100592,10,9,7,7,3,1,1,9,0,5
100602,5,6,9,4,2,1,1,5,0,8
100607,7,6,8,4,3,1,1,5,0,7
100613,5,7,6,5,3,1,1,7,0,5
100617,1,5,7,5,3,1,1,6,0,10
100618,2,8,6,8,5,1,1,9,0,9
100622,3,1,2,1,6,1,1,1,0,3
100625,5,8,6,7,1,1,1,8,0,2
100677,1,5,8,4,2,1,1,5,0,9
100699,8,4,3,5,5,1,1,4,0,7
100702,1,4,1,5,3,1,1,4,0,10
100711,2,10,2,10,3,1,1,10,0,1
100729,3,2,3,2,2,1,1,2,0,9
100740,5,2,2,4,3,1,1,4,0,9
100744,5,2,3,3,2,1,1,2,0,9
100745,7,9,4,6,4,1,1,9,0,4
100747,2,8,6,10,3,1,1,8,0,9
100751,1,6,2,2,1,1,1,5,0,1
100752,5,8,4,6,3,1,1,8,0,2
100753,1,1,3,3,1,1,1,1,0,4
100754,1,5,2,2,3,1,1,5,0,9
100760,8,2,6,4,3,1,1,2,0,3
100762,2,2,5,4,3,1,1,2,0,3
100763,10,7,1,5,3,1,1,7,0,7
100765,9,1,5,1,3,1,1,1,0,2
100770,2,9,6,7,1,1,1,8,0,9
100772,8,9,10,10,2,1,1,10,0,8
100777,4,9,8,10,3,1,1,10,0,3
100791,9,3,7,3,2,1,1,3,0,4
100792,10,3,10,3,5,1,1,3,0,9
100797,9,9,7,8,4,1,1,10,0,1
100823,9,8,6,7,6,1,1,7,0,7
100826,5,6,7,2,5,1,1,5,0,8
100830,7,8,8,7,3,1,1,8,0,5
100836,3,2,1,4,3,1,2,3,0,7
100872,8,9,10,9,1,1,1,10,0,10
100910,5,1,4,1,2,1,1,1,0,9
100913,1,9,2,7,2,1,1,8,0,5
100918,5,1,8,1,1,1,1,1,0,9
100931,7,2,9,5,6,1,1,3,0,3
100952,4,8,8,8,2,1,1,8,0,2
100953,9,7,7,6,2,1,1,7,0,5
100965,1,2,2,2,2,1,1,2,0,9
100970,8,7,7,6,3,1,1,8,0,5
100982,4,5,4,5,1,1,1,6,0,7
100983,2,8,8,7,1,1,1,8,0,9
100984,3,8,3,4,5,1,2,8,0,3
100987,8,6,7,10,1,1,1,6,0,3
100997,4,1,5,1,1,1,1,2,0,3
100998,8,6,2,7,3,1,1,8,0,3
101002,2,3,7,6,5,1,1,3,0,9
101005,5,9,1,10,3,1,1,9,0,7
101008,5,6,4,8,3,1,1,6,0,10
101020,5,3,6,2,3,1,1,4,0,7
101021,10,2,2,5,4,1,1,2,0,2
101024,3,7,8,7,2,1,1,7,0,1
101025,2,4,5,7,3,1,1,5,0,2
101026,9,6,2,4,3,1,1,5,0,3
101031,9,2,6,3,3,1,1,2,0,5
101041,3,7,9,3,5,1,1,6,0,9
101051,7,5,10,8,5,1,1,5,0,3
101055,4,2,7,1,3,1,2,1,0,10
101056,1,4,1,6,2,1,1,5,0,8
101057,3,2,10,2,3,1,1,2,0,9
101064,7,1,3,2,2,1,1,1,0,5
101079,2,7,2,6,3,1,1,7,0,9
101087,4,1,3,2,2,1,1,1,0,1
101090,10,4,5,3,3,1,1,6,0,5
101092,3,9,3,9,3,1,1,10,0,3
101097,2,8,9,7,3,1,1,9,0,8
101099,8,2,8,1,3,1,1,2,0,5
101107,10,6,3,9,3,1,1,7,0,9
101118,8,6,5,6,3,1,1,8,0,3
101125,2,9,4,10,1,1,1,10,0,7
101126,9,5,8,4,3,1,1,5,0,3
101128,8,8,10,10,3,1,1,8,0,2
101136,5,1,1,1,4,1,1,1,0,7
101140,1,6,4,8,3,1,1,5,0,2
101149,5,5,1,5,3,1,1,5,0,5
101160,5,7,3,7,3,1,1,7,0,5
101169,5,8,1,10,3,1,1,8,0,4
101181,7,9,6,10,5,1,1,10,0,2
101186,9,4,6,7,3,1,1,4,0,7
101190,3,4,3,1,3,1,1,3,0,4
101193,5,4,7,4,3,1,1,5,0,10
101194,7,2,1,1,1,1,1,4,0,2
101198,1,6,7,8,3,1,1,5,0,7
101200,2,4,9,3,3,1,1,3,0,1
101204,10,7,9,7,3,1,1,8,0,3
101211,8,4,2,3,3,1,1,5,0,5
101213,2,2,6,3,2,1,1,3,0,3
101223,5,2,10,2,1,1,1,2,0,8
101225,5,7,6,8,2,1,1,6,0,10
101237,2,4,4,2,4,1,1,4,0,5
101243,9,3,1,2,3,1,1,4,0,5
101244,5,2,2,6,1,1,1,2,0,4
101258,4,6,9,10,3,1,1,6,0,5
101259,2,4,3,5,3,1,1,4,0,7
101268,4,4,3,8,3,1,1,4,0,7
101269,10,2,8,2,3,1,1,2,0,9
101271,4,6,1,6,5,1,1,6,0,1
101279,5,4,4,2,5,1,1,4,0,5
101281,5,2,1,5,3,1,1,3,0,5
101287,5,6,9,10,5,1,1,6,0,7
101292,5,5,10,4,3,1,1,7,0,5
101294,8,4,2,4,5,1,1,5,0,1
101296,3,8,5,7,3,1,1,9,0,5
101297,10,2,4,4,4,1,1,2,0,10
101299,1,10,3,9,6,1,1,10,0,3
101301,7,5,10,5,3,1,1,5,0,10
101305,1,4,10,2,2,1,1,5,0,5
101308,2,6,9,10,1,1,1,6,0,10
101318,8,2,9,2,3,1,1,2,0,5
101327,1,8,1,9,3,1,1,9,0,3
101329,7,1,6,1,4,1,1,1,0,4
101332,5,2,5,6,3,1,1,3,0,5
101337,8,9,3,10,4,1,1,10,0,8
101343,8,5,5,4,4,1,1,6,0,1
101345,5,1,10,1,5,1,1,1,0,9
101346,10,8,9,4,3,1,1,8,0,1
101353,10,9,10,9,2,1,1,9,0,5
101354,4,2,3,5,1,1,1,3,0,8
101355,1,10,1,9,5,1,1,10,0,7
101356,8,7,4,5,3,1,1,7,0,5
101362,2,6,5,2,5,1,1,5,0,4
101363,5,8,1,9,3,1,1,9,0,4
101365,5,6,9,8,5,1,1,7,0,1
101366,5,6,3,3,5,1,1,7,0,7
101367,5,2,1,5,5,1,1,4,0,10
101368,8,8,9,10,5,1,1,8,0,2
101374,3,8,3,10,3,1,1,9,0,7
101380,10,7,4,6,3,1,1,6,0,2
101383,8,2,7,3,3,1,1,3,0,5
101398,5,8,8,8,6,1,1,8,0,5
101399,2,5,1,5,2,1,1,5,0,3
101401,5,9,2,10,3,1,1,10,0,9
101412,8,2,1,3,4,1,2,2,0,4
101426,8,5,8,6,3,1,1,5,0,2
101427,1,7,1,8,3,1,1,6,0,8
101428,2,2,6,4,3,1,1,3,0,9
101429,5,2,1,3,3,1,1,2,0,5
101434,7,6,9,7,3,1,1,7,0,4
101440,5,6,6,9,6,1,2,7,0,9
101448,5,2,6,3,3,1,1,2,0,2
101449,2,2,8,3,4,1,1,2,0,3
101465,3,1,8,2,2,1,2,1,0,7
101467,10,2,8,4,3,1,1,2,0,8
101472,3,1,6,2,3,1,1,1,0,9
101478,2,2,2,1,3,1,1,3,0,5
101497,4,9,4,8,3,1,1,9,0,3
101504,1,10,4,10,6,1,2,10,0,10
101547,5,7,10,10,3,1,1,7,0,2
101548,3,5,10,7,1,1,1,5,0,3
101555,1,1,5,1,4,1,1,1,0,4
101570,10,9,4,6,5,1,1,9,0,10
101572,5,3,3,3,3,1,1,3,0,3
101578,3,1,9,1,3,1,1,1,0,10
101580,4,2,1,2,1,1,1,4,0,10
101588,2,8,5,7,2,1,1,9,0,10
101602,10,6,8,6,4,1,1,6,0,9
101610,3,4,4,7,1,1,1,4,0,7
101614,5,10,9,10,3,1,1,10,0,4
101616,8,1,5,1,2,1,1,1,0,8
101643,3,2,6,4,3,1,1,3,0,6
101644,10,7,3,6,3,1,1,7,0,1
101649,4,4,1,6,1,1,1,3,0,1
101650,5,2,8,3,3,1,1,3,0,7
101665,10,5,9,2,5,1,1,5,0,5
101667,3,5,9,6,1,1,1,5,0,10
101669,2,1,9,1,3,1,1,1,0,5
101674,5,7,3,7,3,1,1,7,0,10
101675,5,2,8,4,6,1,1,2,0,4
101678,8,8,2,5,2,1,1,8,0,3
101682,2,1,7,2,2,1,1,1,0,10
101686,3,1,8,1,3,1,1,2,0,7
101697,5,4,4,3,2,1,1,5,0,7
101700,1,8,3,8,1,1,1,8,0,4
101711,5,2,9,5,3,1,1,3,0,5
101714,4,8,9,7,5,1,1,9,0,5
101715,2,5,4,7,3,1,1,5,0,10
101728,4,7,6,7,5,1,1,7,0,2
101732,4,2,7,3,3,1,1,2,0,5
101757,2,2,2,4,2,1,1,2,0,5
101758,4,1,6,1,2,1,1,2,0,8
101759,7,5,8,7,1,1,1,6,0,5
101762,4,9,9,10,6,1,1,9,0,4
101764,7,2,7,4,2,1,1,3,0,4
101780,1,5,2,7,1,1,2,5,0,9
101784,9,9,10,10,6,1,1,10,0,2
101789,7,10,8,9,6,1,1,10,0,3
101816,5,5,3,4,3,1,1,5,0,5
101819,4,1,9,1,3,1,1,1,0,10
101827,9,4,10,3,6,1,1,6,0,5
101863,3,2,5,1,3,1,1,2,0,7
101867,5,9,7,10,3,1,1,9,0,4
101870,10,8,9,8,5,1,1,8,0,2
101873,1,5,9,7,3,1,1,5,0,8
101878,2,5,2,4,2,1,1,5,0,7
101879,9,9,3,9,3,1,1,10,0,5
101880,8,9,10,8,3,1,1,9,0,8
101887,2,10,8,8,5,1,1,10,0,10
101897,10,6,5,5,3,1,1,7,0,5
101901,3,6,2,7,3,1,1,6,0,10
101903,4,4,1,3,1,1,1,3,0,7
101920,7,10,7,10,3,1,1,9,0,1
101921,9,10,7,10,2,1,1,10,0,10
101922,10,1,7,1,1,1,1,2,0,5
101961,5,4,3,3,1,1,1,3,0,7
101962,7,1,9,1,3,1,1,1,0,4
101971,5,7,7,3,3,1,1,6,0,3
101976,5,5,2,7,3,1,1,5,0,10
102002,7,8,6,8,1,1,1,8,0,3
102005,8,10,7,9,4,1,1,10,0,10
102007,1,3,1,3,5,1,1,4,0,3
102017,9,6,10,4,3,1,1,7,0,2
102019,1,5,10,5,3,1,1,6,0,9
102029,10,2,10,5,3,1,1,4,0,3
102051,7,6,1,4,3,1,1,5,0,9
102052,8,3,10,2,6,1,1,4,0,4
102054,8,8,6,9,6,1,1,8,0,2
102062,3,2,8,2,3,1,1,2,0,2
102067,4,5,1,4,3,1,1,5,0,5
102068,7,2,2,2,3,1,1,2,0,6
102070,2,10,7,9,3,1,1,10,0,8
102090,8,5,1,3,3,1,1,5,0,5
102092,3,1,6,1,3,1,1,1,0,7
102099,3,4,6,3,3,1,1,3,0,8
102100,4,10,8,10,2,1,1,10,0,9
102112,5,8,9,9,3,1,1,8,0,9
102113,8,2,5,1,3,1,1,2,0,10
102122,1,7,2,8,3,1,1,6,0,1
102123,9,10,1,9,3,1,1,10,0,1
102125,8,8,7,7,3,1,1,9,0,5
102126,2,6,4,5,1,1,2,6,0,3
102146,5,1,5,1,2,1,1,1,0,10
102147,2,5,5,4,3,1,1,5,0,1
102151,9,5,4,3,3,1,1,5,0,4
102158,2,8,1,7,3,1,1,8,0,3
102159,4,2,5,1,5,1,1,4,0,4
102162,1,3,7,6,3,1,1,3,0,4
102165,2,10,8,10,5,1,1,10,0,10
102166,9,2,6,3,3,1,1,2,0,2
102174,10,2,3,5,5,1,1,2,0,8
102193,8,5,1,6,3,1,1,5,0,7
102198,10,9,4,8,5,1,1,10,0,5
102205,2,7,3,5,4,1,2,6,0,3
102206,8,2,10,2,4,1,1,2,0,1
102218,10,9,4,9,5,1,1,9,0,8
102221,4,7,6,6,5,1,1,7,0,3
102230,3,8,8,7,3,1,1,8,0,9
102238,8,9,1,10,3,1,1,9,0,8
102248,1,8,8,7,6,1,1,8,0,5
102252,4,4,1,5,1,1,2,4,0,3
102259,5,3,9,2,3,1,1,4,0,5
102262,2,8,6,4,1,1,1,8,0,2
102273,9,2,2,2,4,1,1,2,0,5
102286,3,7,1,3,3,1,1,6,0,5
102293,9,2,8,4,3,1,1,2,0,8
102294,5,6,8,9,4,1,1,6,0,10
102296,5,9,3,10,3,1,1,9,0,4
102298,10,7,3,7,3,1,1,8,0,10
102303,5,10,6,10,6,1,1,10,0,2
102309,9,5,5,7,3,1,1,5,0,4
102315,3,3,3,2,5,1,1,3,0,7
102340,7,4,10,3,3,1,1,4,0,5
102342,4,7,1,4,3,1,2,7,0,5
102344,5,2,2,5,3,1,1,2,0,5
102346,8,8,4,8,3,1,1,8,0,9
102347,10,1,2,1,3,1,1,1,0,5
102374,8,7,5,5,3,1,1,7,0,1
102380,10,3,6,5,3,1,1,3,0,2
102387,5,8,10,7,5,1,1,8,0,10
102393,5,2,5,6,4,1,1,3,0,3
102403,10,1,5,1,5,1,1,1,0,4
102413,7,4,8,5,4,1,1,4,0,3
102414,9,10,6,10,6,1,1,10,0,1
102415,3,4,7,1,4,1,1,3,0,1
102416,5,6,3,10,5,1,1,6,0,7
102439,9,6,5,5,3,1,1,7,0,9
102441,5,2,9,3,2,1,1,2,0,4
102443,7,2,7,5,6,1,1,2,0,7
102444,1,1,9,1,1,1,1,1,0,2
102445,2,2,3,3,3,1,1,2,0,7
102448,2,7,3,5,5,1,1,7,0,3
102449,5,7,2,4,3,1,1,7,0,1
102450,5,8,2,10,3,1,1,8,0,9
102456,5,1,2,2,6,1,1,1,0,3
102458,1,8,8,7,6,1,1,8,0,2
102459,7,8,3,5,4,1,1,9,0,1
102465,8,9,7,7,3,1,1,9,0,1
102470,4,1,1,2,1,1,1,2,0,7
102471,5,8,7,8,3,1,1,8,0,10
102475,3,2,10,7,3,1,1,3,0,3
102476,3,8,5,9,3,1,1,9,0,4
102506,8,2,1,6,4,1,1,2,0,9
102509,3,10,6,10,3,1,1,10,0,10
102519,6,1,10,1,3,1,1,1,0,5
102522,1,2,7,7,6,1,1,3,0,2
102545,8,5,8,4,3,1,1,5,0,2
102549,3,1,9,1,3,1,1,1,0,9
102562,7,6,6,5,6,1,1,7,0,1
102563,8,7,6,5,5,1,1,6,0,2
102568,2,4,6,3,3,1,1,4,0,4
102582,5,2,3,2,1,1,1,2,0,7
102592,10,2,6,6,3,1,1,3,0,10
102597,1,1,6,3,1,1,1,1,0,7
102605,7,3,8,1,3,1,1,3,0,8
102614,8,2,8,2,3,1,1,2,0,1
102617,1,1,8,1,3,1,1,1,0,4
102634,2,4,3,4,2,1,1,4,0,7
102652,4,5,10,6,6,1,1,5,0,2
102655,4,10,9,10,6,1,1,10,0,2
102671,5,7,1,3,3,1,1,6,0,5
102694,2,6,1,6,3,1,1,7,0,5
102701,10,2,9,4,3,1,1,3,0,10
102703,9,7,9,7,5,1,1,7,0,7
102704,8,4,9,2,3,1,1,4,0,5
102713,10,1,8,1,3,1,1,1,0,5
102720,1,2,5,2,3,1,1,3,0,7
102731,5,6,5,8,6,1,1,6,0,10
102733,4,2,6,2,2,1,1,2,0,7
102749,10,7,5,10,3,1,1,7,0,2
102755,4,1,9,2,3,1,1,2,0,5
102763,8,2,7,5,2,1,1,2,0,7
102770,8,2,7,1,3,1,1,2,0,9
102772,3,7,2,8,5,1,1,6,0,7
102799,3,5,2,5,3,1,1,5,0,8
102838,9,1,6,1,3,1,1,1,0,1
102854,3,1,9,1,3,1,1,1,0,5
102862,2,4,6,5,3,1,1,4,0,2
102863,9,7,6,5,3,1,1,8,0,2
102867,10,6,6,2,4,1,1,5,0,1
102868,9,1,9,1,3,1,1,1,0,1
102878,5,6,2,4,4,1,1,7,0,2
102887,7,3,3,6,2,1,1,3,0,4
102898,1,5,3,8,3,1,1,5,0,9
102904,5,6,2,8,4,1,1,7,0,7
102912,8,3,4,3,3,1,1,4,0,3
102919,9,6,8,5,3,1,1,7,0,5
102927,3,1,5,1,3,1,1,1,0,7
102932,9,2,3,3,3,1,1,2,0,10
102933,3,2,2,3,4,1,1,3,0,3
102935,9,8,5,10,3,1,1,8,0,5
102958,7,2,5,2,3,1,1,3,0,8
102969,9,6,1,8,3,1,1,6,0,7
102971,10,8,7,7,5,1,1,9,0,7
102975,5,6,8,9,3,1,1,5,0,4
102979,8,5,4,4,2,1,1,5,0,4
102982,7,3,6,2,5,1,1,4,0,1
102987,2,9,2,8,1,1,1,8,0,3
102989,3,2,4,1,4,1,1,2,0,7
102995,2,2,6,4,6,1,1,3,0,5
102996,10,4,3,2,3,1,1,3,0,3
103000,5,6,6,5,6,1,1,8,0,5
103001,10,4,1,3,2,1,1,5,0,2
103004,3,7,3,8,6,1,1,7,0,5
103010,5,2,8,4,6,1,1,2,0,3
103025,2,5,7,8,1,1,1,5,0,7
103029,7,1,2,1,4,1,1,1,0,10
103046,5,9,6,10,3,1,1,10,0,4
103056,3,4,10,2,3,1,1,4,0,5
103062,2,8,3,7,3,1,1,8,0,3
103078,7,8,10,5,5,1,1,8,0,2
103083,9,9,10,7,3,1,1,9,0,2
103092,9,9,1,9,3,1,1,9,0,2
103096,5,2,6,4,2,1,1,3,0,3
103097,3,8,1,9,2,1,1,7,0,2
103102,5,9,4,10,3,1,1,10,0,8
103112,7,8,3,9,2,1,1,8,0,10
103132,4,7,5,5,3,1,1,8,0,5
103144,6,8,6,9,3,1,1,8,0,9
103145,5,4,4,5,2,1,1,4,0,10
103146,8,1,6,3,5,1,1,1,0,3
103147,7,9,4,9,3,1,1,10,0,10
103158,8,1,10,1,3,1,1,1,0,5
103171,9,4,3,4,3,1,2,4,0,4
103173,8,10,6,7,6,1,1,10,0,10
103184,9,3,5,6,3,1,1,3,0,8
103195,2,7,8,7,1,1,1,8,0,7
103196,3,9,3,9,5,1,1,9,0,4
103206,10,2,9,3,3,1,1,2,0,8
103230,1,8,8,9,3,1,1,8,0,2
103231,1,7,3,5,2,1,1,6,0,3
103232,10,2,7,4,3,1,1,3,0,10
103239,7,8,1,6,4,1,1,9,0,1
103240,1,8,10,8,3,1,1,9,0,4
103243,7,5,4,8,4,1,1,5,0,1
103252,5,7,2,7,2,1,1,8,0,3
103258,3,1,5,1,4,1,1,2,0,1
103259,2,8,1,10,4,1,1,8,0,3
103279,5,6,10,6,3,1,1,7,0,4
103280,10,7,8,6,6,1,1,6,0,3
103286,9,1,5,1,3,1,1,1,0,2
103287,1,6,1,4,3,1,1,5,0,3
103290,8,7,7,7,2,1,1,7,0,2
103298,8,5,9,2,3,1,1,5,0,3
103315,7,7,10,5,6,1,1,7,0,5
103319,2,6,10,8,3,1,1,7,0,1
103334,3,7,8,8,3,1,1,6,0,7
103336,5,1,3,1,2,1,1,1,0,5
103345,7,8,5,8,3,1,1,8,0,2
103368,8,6,9,4,4,1,1,5,0,1
103371,1,6,3,8,3,1,1,5,0,1
103377,3,7,7,7,6,1,1,7,0,8
103398,9,7,8,5,3,1,1,6,0,1
103404,2,6,10,5,3,1,1,6,0,5
103408,1,2,2,3,1,1,1,4,0,10
103410,2,2,9,4,3,1,1,4,0,3
103418,8,6,7,4,4,1,1,7,0,1
103420,5,5,1,4,1,1,1,5,0,4
103432,8,9,1,8,3,1,1,10,0,1
103433,7,2,9,1,3,1,1,2,0,9
103436,7,10,6,9,3,1,1,10,0,1
103440,8,9,4,7,4,1,1,9,0,7
103453,7,5,5,3,3,1,1,5,0,8
103459,8,10,3,10,1,1,1,10,0,4
103460,8,3,5,3,3,1,1,4,0,5
103461,5,2,10,4,5,1,1,2,0,7
103462,10,6,3,3,4,1,1,5,0,6
103473,3,1,5,1,1,1,1,1,0,9
103474,9,9,7,8,5,1,1,10,0,4
103475,1,2,1,3,3,1,1,3,0,8
103478,8,2,1,2,3,1,1,4,0,10
103480,1,9,6,7,6,1,1,10,0,2
103484,5,10,9,9,3,1,1,10,0,1
103494,2,6,7,7,3,1,1,5,0,9
103513,5,7,7,10,1,1,1,6,0,8
103515,9,6,6,6,3,1,1,7,0,7
103516,5,1,1,1,2,1,1,1,0,5
103525,2,6,5,7,2,1,1,5,0,1
103541,5,8,1,10,3,1,1,9,0,2
103544,8,7,7,8,3,1,1,6,0,1
103562,4,8,1,8,2,1,1,8,0,7
103570,5,1,1,2,1,1,1,1,0,9
103572,5,5,5,5,3,1,1,5,0,10
103574,10,4,8,2,3,1,1,3,0,2
103575,7,7,7,6,3,1,1,7,0,3
103591,2,2,3,3,6,1,1,3,0,9
103594,5,2,6,3,3,1,1,3,0,5
103609,9,9,5,8,2,1,1,10,0,5
103613,2,6,9,6,6,1,1,7,0,5
103614,8,1,1,1,6,1,1,1,0,5
103615,2,4,7,3,6,1,1,4,0,5
103624,3,9,9,6,3,1,1,8,0,3
103625,6,8,1,6,2,1,1,7,0,10
103628,2,6,2,7,1,1,1,8,0,2
103629,10,2,8,3,2,1,1,2,0,4
103647,3,2,4,3,3,1,1,3,0,2
103648,5,10,2,10,4,1,1,10,0,1
103651,8,3,1,2,6,1,1,4,0,2
103658,7,4,3,3,6,1,1,3,0,1
103668,3,6,7,7,4,1,1,5,0,7
103669,7,8,7,8,5,1,1,6,0,7
103676,4,1,5,1,3,1,1,1,0,3
103682,2,4,7,4,3,1,1,5,0,3
103683,4,1,6,1,3,1,1,1,0,5
103689,8,2,9,3,3,1,1,1,0,7
103725,4,8,3,10,3,1,1,8,0,3
103733,1,10,6,10,5,1,1,10,0,9
103744,10,10,4,10,6,1,1,10,0,3
103762,5,5,6,5,3,1,1,5,0,7
103771,5,2,1,4,3,1,1,3,0,5
103773,7,4,10,7,6,1,1,4,0,2
103783,4,3,6,3,4,1,1,4,0,8
103784,3,2,8,1,3,1,1,2,0,1
103808,9,2,9,3,3,1,1,2,0,5
103812,5,2,2,3,3,1,1,4,0,5
103813,5,6,2,7,3,1,1,7,0,8
103814,5,10,6,9,1,1,1,10,0,5
103818,1,2,6,4,2,1,1,2,0,10
103824,7,6,7,6,6,1,1,5,0,9
103828,8,2,7,6,3,1,1,3,0,5
103830,1,2,1,3,3,1,1,2,0,5
103840,10,9,7,7,5,1,1,9,0,2
103842,8,6,4,8,1,1,1,5,0,8
103847,1,8,6,8,3,1,1,9,0,4
103848,6,9,10,10,1,1,1,9,0,10
103851,8,10,8,10,5,1,1,10,0,8
103854,2,2,5,2,1,1,1,2,0,10
103857,3,5,3,8,1,1,1,5,0,9
103861,9,6,10,5,3,1,1,5,0,5
103862,1,1,7,1,3,1,1,1,0,1
103865,3,2,2,5,3,1,1,3,0,5
103870,8,7,8,5,6,1,1,7,0,2
103876,7,7,7,7,3,1,1,6,0,1
103891,5,7,1,9,1,1,1,7,0,10
103908,5,4,6,5,3,1,1,4,0,7
103914,8,8,2,6,3,1,1,9,0,5
103918,3,8,4,8,4,1,1,8,0,4
103940,9,1,5,1,2,1,1,1,0,10
103963,7,8,1,9,1,1,1,9,0,3
103966,1,3,10,1,4,1,1,3,0,2
103971,5,6,6,7,3,1,1,5,0,7
103980,5,6,5,4,1,1,1,5,0,8
103984,3,4,3,3,3,1,1,4,0,5
103985,5,3,5,2,5,1,1,3,0,4
103998,2,6,1,3,3,1,1,5,0,3
104019,8,5,8,8,5,1,1,5,0,1
104026,3,8,5,5,3,1,1,8,0,1
104035,7,7,3,7,3,1,1,7,0,7
104044,2,8,5,4,4,1,1,8,0,4
104045,10,2,8,3,1,1,1,3,0,8
104047,1,6,7,2,1,1,1,5,0,1
104051,5,6,10,6,3,1,1,5,0,5
104058,7,5,4,4,5,1,1,7,0,5
104063,10,9,10,10,3,1,1,10,0,4
104066,1,8,5,9,3,1,1,9,0,8
104087,3,10,7,10,6,1,1,10,0,3
104089,10,4,4,6,3,1,1,4,0,3
104095,6,8,5,7,4,1,1,9,0,9
104098,7,5,1,7,2,1,1,5,0,3
104104,8,5,4,3,4,1,1,7,0,4
104110,1,7,1,5,3,1,1,6,0,7
104120,4,2,6,3,1,1,1,2,0,5
104122,7,8,9,9,5,1,1,8,0,3
104131,7,8,10,5,5,1,1,7,0,3
104132,7,2,6,1,1,1,1,3,0,10
104135,8,2,2,3,3,1,1,4,0,5
